Title,Description,ImageURL
Colombus' Egg,A song you liked before it blew up,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExczQ0MHJlNjUzd3lycGg0MDQ4ODdqNmY1eW90dmpmb3J2dHBkNmxlcSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/hWoxxmwzwUDt1QZFiZ/giphy.gif
Muscle Memory,A song you know most of the words to,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbW52ZTE2ZTlsYThsZWlsanJvbG83aXluazV4a3lzbGwzZm83ZTcxbyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/A9m5lXXxj54lCLcwWR/giphy.gif
Blue Note,A jazz song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeXFwNHp4M2N0bzEwYnFhazJocHRsZWl6MXkyZXpjb3pyOGZucXhxdyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/HgSGMrcsHEKYuCKB2n/giphy.gif
To infinity and beyond,A song that has space/sci-fi themes,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbWlyZ3k4MHY4NXoyZnlhc2o4MGFpOWhoNDUybTNwY2M4bmpmYjlsayZlcD12MV9naWZzX3NlYXJjaCZjdD1n/a7Y6lravckuKA/giphy.gif
Chekhov’s Gun,"A song where one line, riff, or moment makes the whole track worth it",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcGNubzZnN3BkcXJpMHpqdmc3c2VjbG1rYXZjc2F4YTNuYjNyMmtiZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xCM0GuXe7bb7a/giphy.gif
Negative Space,"A song where silence, restraint, or minimalism is what makes it good",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExaDl0MDZ3aGY4dm4xbGtncWxsaTNsN2RxcnJvNnVzZWh4dTl5cG5zaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/fhP00Xnl6fegYEhhm9/giphy.gif
Misprint,A song that feels unlike the rest of the artist’s catalogue,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExOWM4NGthMDRoZ3k0amExd3BuYmVuMGJ0M3BnMWdia2s3Zm9yN2kybSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/75FTGVqRGklSs2mJFG/giphy.gif
False Ending,"A song that sounds like it’s ending, then comes back stronger",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExd3A0Z28yOGJiMjZjbnpjaHJxZHBlMHRsMXV3b3Y4dnF1NTg4M280dyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3o7qDT9Yp5DdcN3qi4/giphy.gif
I Can Fix Her,"A song you know is a red flag, but you love it anyway",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYzVjYmN4dHlvNW12MDFzdGMzaHRkOTRoZWJwaHliNnRpam8xY2VzbSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/5AhGRH6eiFbdMMj6fu/giphy.gif
What the Helly,A song that is messed up,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExOWNocHNmZ2lhemQwNHFqenFqeXVuejN4amg1bXdxcmFoZWEzYzV3eCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/kMdIMb9Vf3RoUSwbIk/giphy.gif
Press Start to Continue,A song from your favourite video game,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExamh2aWw1bm00eHFnaHhhaTAzbmEzMWlya2JjZG8xbGg2aWM4NWZoYiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/hqTguNdEoA1ooYxeog/giphy.gif
Turn it Up to 11,A rock song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExY3JlcW9nMTV2c3J0N2Ryc3dnMjd4dWw5czJtbzZ5NXdvYWhtZmh6biZlcD12MV9naWZzX3NlYXJjaCZjdD1n/XQ1FwjRKun4nS/giphy.gif
Bars,A hip hop song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZDI1YjVxM2Z0cnIxZm85NmY0OGtzaHg4ODVkZWFvc2E5djVkY3BlbyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3IcX9Y4n6wRnq/giphy.gif
Divorced Dad,A rock song for when you become a divorced dad,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3dmxzZGluMmVpNGFmaG94Nm83ZHR2anB5bTY4YTFrbDB3Y2cxZ3RibCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/BsQ4hGk3leUxGVCS5X/giphy.gif
Bubble Pop,A k-pop song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExa283cGx6d3ZpM25zem54NmNmM2RudmMxMW14anJibmxrdWRod2d6dSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xT3i116e4nbDomX7Wg/giphy.gif
Just Hootie,A song by a solo artist who was in a more popular band,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNWRmbWU5ZjY1cTZkcnVjbGIxcTlneGdsb2hpY3R1dTFnc2hmcnVyNCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/7JsI3OmKBMTtjo9Dp9/giphy.gif
Just to enhance it,"Stoner rock, or music to listen to while stoned",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZWtzMGJ4c25ubWFrMnozMWI5cGNmdXJrZXNzemdpbm9yZjlub2N5dyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/VhTemD8oFEZlC/giphy.gif
Look mama no Hans,Score from a movie not composed by Zimmerman,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExMHI0czI4dnF4NzN5ZWFxMTlleHlwbHNyNXg2ZjVyMGluMnB5djZlbiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/lv86aOL3XkZC0EadmR/giphy.gif
Zimming,Score from Zimmerman,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExdzRudHc4bXE1cjY4czRmeHVocWJ3d2w5c3Foc2ZjZHdkZnZ4ZGNxMyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3ohhwCugeb1rKfsXqU/giphy.gif
I got a Name,Song with a name in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbHFlMTVtY3Q2Mmc5cnR5a2hxdmlxZmdrbjIxZzRnN3Rmem1idTAybyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/16OVCXl1PH2uY/giphy.gif
hey macarena,Song you have to dance to,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExY3Bjb3cybTJ3ZnVmbDZ3OGN6NTZzZGFhYXFsMHQ1NHI4MWJxeDFxMyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/blSTtZehjAZ8I/giphy.gif
yesterdays jam,song you used to like but have moved on from,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExdmVna2FvcHl1enN3MG93c3A1OTJzczhmdXhocHcyYnExMmZhMndxeiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/uXcOCVoJImsNxVkigb/giphy.gif
Youre going to want to see this,song with a cool music video,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3bmJ3YmJvaWx4YnhhNnZ1Y21od3ltcmhraWZlMDF6dTdiZG50dzMydCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Rjz8xl9WlMgXC/giphy.gif
A Man of Many Talents,Song by an artist who is also an actor,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZG9qYmU0czFjcDFwYXQwNnpsdG9zM2VkZzVhODA2b2NzaWprM2VqbSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/VG2q7LKqdPkiiWTkuz/giphy.gif
Parlez-vous Français?,Favourite French song or French artist,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExdzhiaTF1cXZraWM2emw2eGlud3Nic29ra214enRyazI4YTlnenJwZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/f9l5DNp8PuPbOkNJQY/giphy.gif
Turning Japanese,Favourite Japanese song or Japanese artist,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3andybjVlbzZ3YWNoc29ybzdiNWttYnNydW93eG02cXFvYnh5dXZzdCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xT9IgDa12crsFF8F6U/giphy.gif
The Real Slim Shady,Favourite Eminem song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExd3IwM3RwYThiNXFtbmp5dDhndHE0MjF4NnN0cWg2dDN2NDFkOW1jMSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/43FimD5Qmeanm/giphy.gif
It’s About Making a Statement,Song with political themes or protesting something,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcmRoeXhocDRqaGxoYnZtNWd5MnowZzM0OThrZmZuYnY1ZXBoMHhxayZlcD12MV9naWZzX3NlYXJjaCZjdD1n/EfaamHggcxS16PmSgJ/giphy.gif
Around the World,Favourite song in another language,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNzk4ZDJhNzJka3hibDczZTlmMWY4ZTN2d2p2MmV4YjBobHRqbTlrZCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l0MYPsBLOYyFqSDte/giphy.gif
Lost in Translation,"Song in another language that sounds cool, but if you knew the lyrics you’d be like “oh...”",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExczVwbTl0NzRiaW1oOWc5OXR2c3FwNXNjanNtdjRkNWhyeXkxeWI4NiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xULW8uXb1bgc1Zknvi/giphy.gif
No ABBA,Your favourite Eurovision song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExOXp4OXN6OGNmZW5sc2NubDNwZ3hmdTRud2pyeWtmZm5oc2phbmdhMCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/s2eTb3QnGysGQ/giphy.gif
Hidden Mickey,A lesser-known Disney banger,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3OTUxdWc2aXExbjNlem5qazRhNXYwOTM5Mm80dGd5MGNsYTA1MmpmcyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/NbzM2qI4tmuc0/giphy.gif
"Hot Dog, Hot Dog",Your favourite Disney song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbTl4NTd6djhjeHNuYjB3dXMyODBhOTl5cm9oYzNubXNrZTQ1a3Q4byZlcD12MV9naWZzX3NlYXJjaCZjdD1n/khKHUbMYTXLb2/giphy.gif
It’s Not a Phase,Favourite emo song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYmNnaGw1bmthdzNmcXIxdHVsZm9qZmlmZnVjMHZzM2lqZ2Z1dDZmbyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/R0ddPDZ1LpKFfdkrpS/giphy.gif
Waiheke Wonderland,Your favourite Christmas song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNnNobzZmYjMxdzIyMnFkamJsbGpoN3c2bXB0a2d0cGlkbG56OTZueiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/1dLMYg36TuESIdjnZT/giphy.gif
IIRC,The first song you remember,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcjN0MWhrMXQyZ2h4MHB5endoOHcycWR3aTRoc2FuN25iZWh0N3drMyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/E3NXqEBdCABZG3T5uB/giphy.gif
In Memoriam,Song from a deceased artist,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExb3g2emthbWQ0NjA5OTlwNzFpb3F2bHZvY3ZjbWNyOHlraW1qcTNweiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/GJVpbMjfT2Ftm/giphy.gif
Outside the Frame,Song that’s better than the movie,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeTg1MjN4dTI2ZDZnMHE4aDloOTVydjA4YWwwbWwxZGQ3aXZjMzQwNiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/D16XHdsB1PBxm/giphy.gif
’Member the ’90s,Song from the ’90s,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZjI1MGNpMDE2NXdueXFwemlmNDk2ZmpwZjh0M3psd3cxMnR1Yml3YyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3oKIPgvPwXi2ZAIS5O/giphy.gif
I Can’t Believe It’s Not Disney,"Song from a movie that feels like Disney, but isn’t",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeGdjaHVzaDhnMWI1NzcxejY2bGF4bDZjd290NGNxbjVkeWVtcWIxMiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/BrXsJbI9DH3Lq/giphy.gif
"Thanks, Seattle",A grunge song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExb3gwNWc3MHN4cWp4ZXl4cHFrMms0MTV2dG1yeTBpZ3R3Nms3bXY4dyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Z22szWYnwy9fG/giphy.gif
Homegrown,A Kiwi song,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3bWRpdnphZHlnM25waWltZzNpMXJqYW56Mm9teXk2MTFpbnNpZTN1diZlcD12MV9naWZzX3NlYXJjaCZjdD1n/sdP7r0KlZnQFQUaCD0/giphy.gif
No Bellybutton,A cover song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExOHZpMzNvMjF6M3hhdmxsdGd6ZTlsZ25ra3g0bWxzb3lpejE2enl1aSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/97BYzQvZAj3d6/giphy.gif
"Upgrades, People!",A cover you like more than the original,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNGQ4Ymt2bXRmZXQyYmwybWx6eWl4NWF1Z3dld3ZnbjJwZWF3dmN4MiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/9S706ievhjXVfG9s9Q/giphy.gif
On the Shoulders of Giants,"A song where the sample is better than the song itself, or the most iconic part",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZjU0N3BkMzh6bGdsbTZlaWdtMnltM2EzbXZ6dGhjNmprMHRyamFyeiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/kaZdqgKC2Dg0XoRzgD/giphy.gif
Born in the U.S.A.,"Song about America, American culture/iconography, or just feels American",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExejFuOXExYWw2ZzgxY2V2YWRiMXlsZ3k5bmgyZmgwMXl5Zm9lMTB6dCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/6BiC8e8sypeow/giphy.gif
Fake Plastic Knees,Song by an artist with obvious plastic surgery,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbGx4MGp6Z3RoNG5hM21qcjV0MTVzMDNwZ3B4YXRuNTVpNWw1Mno0OCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/L0qjuyRG2sUJP9Vseu/giphy.gif
Simpsons Did It,Song by an artist featured in The Simpsons,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNmIzYXc3ZDQ1bDcyb3FtOTIxNTR2MHFrazlhMTJncjU4N2NwcmtncyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/uP3dNjAx05Uoo/giphy.gif
Product Placement,Song with a brand name dropped in it,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeHI0c3QyMG9wcnltZWlqazg2bDlqZGczNHkxODRkOGZ2cjE1bmF6NSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/10AE9XMeHgBTOg/giphy.gif
I Went to School With Them,Song by an artist who went to the same school as you,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3NnQ2YmZrZXd1ZTFlNTVvMHJkYnR3OGw4NHNmNGoyMHh6ajZlN2dhdCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/kbcLWrW6QPIl7SKwgc/giphy.gif
Teen Star,Song by a young artist (when released),https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNWRkcmliemk1YnE2bHR0cWRta2RpOG5reWRrMXk3c2M1YTJvOXE3YyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/52F9kWFAP1kuKmHwSj/giphy.gif
The Boycott,A song not available on Spotify,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExdGQzOXBkOXNxdzh3OXQ5Y2t0emtpczUxYW9uZTJodmRmZnFhNXdsciZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l2Je83alBrkGXjYE8/giphy.gif
Under the Sea,"Song about the ocean, ships, sailing, or similar themes",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExa2t0a29kMzVmcnloY24zbjhoMGgxcXZ6a3U1b250eDZtYTFpY2pmMyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/FJETQggeyUSiI/giphy.gif
Soup du Jour,Song you’ve been into lately,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYWNlN3d2NDV6M3ZydHNoazJkejByemVneXp3cjhkOXV1YWthcm5reSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/IcHmGnjFSOyeA/giphy.gif
Guess We’ll Never Know,Song that won a Grammy,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYTJhY2plM3UyZnNiczF3Z2tycDMxZDhjaXY3Y3YxMmNzbXRjdTk4cSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/qa99ZNYypWqDDD7txi/giphy.gif
That’s Amore,Song about the moon,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExamdxNXg0MHc5YnEzNDZrOTYwdXJyYTVrd2Vmb2U2cHR0ZDNhaWl5cSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/FWtVYDHIxgGgE/giphy.gif
Another Love Song,Song about love,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3cG9ia2hxcGRiMTJ2dnk2MnZqeWg1NjV5eW45Y3RuajE3cDF3eHZ5MCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Ni7Zlh4O2iaCiUjT8t/giphy.gif
From Start to Finish,"Song from an album where every track is a banger, or there’s a 5+ song run",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYzduMzVzZGJxbWdwZWd2c3YwbGJhMW13bTFxeTZuZWhoaWNyMjBmNyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JfHYC3gw6lWZdSesBw/giphy.gif
On The Big Screen,Song from a movie,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYzduMzVzZGJxbWdwZWd2c3YwbGJhMW13bTFxeTZuZWhoaWNyMjBmNyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ppth4CUpFD7YvoVQ8H/giphy.gif
They Were Cooking,Song about food,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbWdmaWt3dWoxemN0aDViZzQ5NTkyaG8zdWd6cm0yd3V3cmtub2VheSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/byuWzpSHNk7EA/giphy.gif
Watching the Tube,Song from a TV show with great music choices or score,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZ2VyMHF5aDlic3Bvdm9zN21qeWxveWg5Njlhd2x5bWQzeDZ5N29hbCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Sb7WSbjHFNIL6/giphy.gif
Despicable You,Song that makes you happy,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExemV2NmxqbTN0NjJjMzZyaDNydDd2MzU2cWVoYW5kYnpzdjVheDExeCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/PmABbbUe3IqUKSOIBV/giphy.gif
Broad-way,Song from a musical with a female lead,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExdmc2d2V1bmswd2s1bm5taXVxNnBxd3R5bW4ydWIyb29icWJjdDdrdSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/8Xxc1CQwYn15QlEY2u/giphy.gif
Crescendo,Song with a great build up,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYnc2N3N3ZTVlemc1eWtldTltbWk1YzcyeTd3MzVpaHphNWtxNHE0aiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JCmcUVBKjcGOhpsn0g/giphy.gif
